Run#:, 204, Scores:,    black:, 31, white:, 30,   Spread:, 1, Win Score:, 1
Run#:, 205, Scores:,    black:, 34, white:, 30,   Spread:, 4, Win Score:, 1
Run#:, 206, Scores:,    black:, 26, white:, 38,   Spread:, -12, Win Score:, -1
Run#:, 207, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 208, Scores:,    black:, 18, white:, 45,   Spread:, -27, Win Score:, -1
Run#:, 209, Scores:,    black:, 42, white:, 22,   Spread:, 20, Win Score:, 1
Run#:, 210, Scores:,    black:, 40, white:, 24,   Spread:, 16, Win Score:, 1
Run#:, 211, Scores:,    black:, 13, white:, 51,   Spread:, -38, Win Score:, -1
Run#:, 212, Scores:,    black:, 34, white:, 30,   Spread:, 4, Win Score:, 1
Run#:, 213, Scores:,    black:, 32, white:, 32,   Spread:, 0, Win Score:, 0
Run#:, 214, Scores:,    black:, 41, white:, 22,   Spread:, 19, Win Score:, 1
Run#:, 215, Scores:,    black:, 14, white:, 50,   Spread:, -36, Win Score:, -1
Run#:, 216, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 217, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 218, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 219, Scores:,    black:, 23, white:, 41,   Spread:, -18, Win Score:, -1
Run#:, 220, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 221, Scores:,    black:, 32, white:, 32,   Spread:, 0, Win Score:, 0
Run#:, 222, Scores:,    black:, 43, white:, 20,   Spread:, 23, Win Score:, 1
Run#:, 223, Scores:,    black:, 33, white:, 30,   Spread:, 3, Win Score:, 1
Run#:, 224, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 225, Scores:,    black:, 19, white:, 45,   Spread:, -26, Win Score:, -1
Run#:, 226, Scores:,    black:, 39, white:, 22,   Spread:, 17, Win Score:, 1
Run#:, 227, Scores:,    black:, 39, white:, 24,   Spread:, 15, Win Score:, 1
Run#:, 228, Scores:,    black:, 38, white:, 26,   Spread:, 12, Win Score:, 1
Run#:, 229, Scores:,    black:, 18, white:, 43,   Spread:, -25, Win Score:, -1
Run#:, 230, Scores:,    black:, 36, white:, 27,   Spread:, 9, Win Score:, 1
Run#:, 231, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 232, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 233, Scores:,    black:, 34, white:, 30,   Spread:, 4, Win Score:, 1
Run#:, 234, Scores:,    black:, 10, white:, 53,   Spread:, -43, Win Score:, -1
Run#:, 235, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 236, Scores:,    black:, 33, white:, 30,   Spread:, 3, Win Score:, 1
Run#:, 237, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 238, Scores:,    black:, 38, white:, 26,   Spread:, 12, Win Score:, 1
Run#:, 239, Scores:,    black:, 16, white:, 47,   Spread:, -31, Win Score:, -1
Run#:, 240, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 241, Scores:,    black:, 16, white:, 47,   Spread:, -31, Win Score:, -1
Run#:, 242, Scores:,    black:, 43, white:, 20,   Spread:, 23, Win Score:, 1
Run#:, 243, Scores:,    black:, 38, white:, 26,   Spread:, 12, Win Score:, 1
Run#:, 244, Scores:,    black:, 43, white:, 21,   Spread:, 22, Win Score:, 1
Run#:, 245, Scores:,    black:, 35, white:, 24,   Spread:, 11, Win Score:, 1
Run#:, 246, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 247, Scores:,    black:, 24, white:, 40,   Spread:, -16, Win Score:, -1
Run#:, 248, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 249, Scores:,    black:, 32, white:, 27,   Spread:, 5, Win Score:, 1
Run#:, 250, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 251, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 252, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 253, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 254, Scores:,    black:, 42, white:, 22,   Spread:, 20, Win Score:, 1
Run#:, 255, Scores:,    black:, 34, white:, 30,   Spread:, 4, Win Score:, 1
Run#:, 256, Scores:,    black:, 37, white:, 26,   Spread:, 11, Win Score:, 1
Run#:, 257, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 258, Scores:,    black:, 41, white:, 23,   Spread:, 18, Win Score:, 1
Run#:, 259, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 260, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 261, Scores:,    black:, 29, white:, 32,   Spread:, -3, Win Score:, -1
Run#:, 262, Scores:,    black:, 45, white:, 18,   Spread:, 27, Win Score:, 1
Run#:, 263, Scores:,    black:, 41, white:, 23,   Spread:, 18, Win Score:, 1
Run#:, 264, Scores:,    black:, 27, white:, 36,   Spread:, -9, Win Score:, -1
Run#:, 265, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 266, Scores:,    black:, 44, white:, 20,   Spread:, 24, Win Score:, 1
Run#:, 267, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 268, Scores:,    black:, 30, white:, 33,   Spread:, -3, Win Score:, -1
Run#:, 269, Scores:,    black:, 31, white:, 32,   Spread:, -1, Win Score:, -1
Run#:, 270, Scores:,    black:, 40, white:, 24,   Spread:, 16, Win Score:, 1
Run#:, 271, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 272, Scores:,    black:, 20, white:, 44,   Spread:, -24, Win Score:, -1
Run#:, 273, Scores:,    black:, 27, white:, 37,   Spread:, -10, Win Score:, -1
Run#:, 274, Scores:,    black:, 32, white:, 32,   Spread:, 0, Win Score:, 0
Run#:, 275, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 276, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 277, Scores:,    black:, 26, white:, 37,   Spread:, -11, Win Score:, -1
Run#:, 278, Scores:,    black:, 24, white:, 40,   Spread:, -16, Win Score:, -1
Run#:, 279, Scores:,    black:, 42, white:, 21,   Spread:, 21, Win Score:, 1
Run#:, 280, Scores:,    black:, 24, white:, 39,   Spread:, -15, Win Score:, -1
Run#:, 281, Scores:,    black:, 37, white:, 26,   Spread:, 11, Win Score:, 1
Run#:, 282, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 283, Scores:,    black:, 25, white:, 38,   Spread:, -13, Win Score:, -1
Run#:, 284, Scores:,    black:, 40, white:, 23,   Spread:, 17, Win Score:, 1
Run#:, 285, Scores:,    black:, 41, white:, 22,   Spread:, 19, Win Score:, 1
Run#:, 286, Scores:,    black:, 39, white:, 25,   Spread:, 14, Win Score:, 1
Run#:, 287, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 288, Scores:,    black:, 40, white:, 24,   Spread:, 16, Win Score:, 1
Run#:, 289, Scores:,    black:, 40, white:, 23,   Spread:, 17, Win Score:, 1
Run#:, 290, Scores:,    black:, 32, white:, 29,   Spread:, 3, Win Score:, 1
Run#:, 291, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 292, Scores:,    black:, 45, white:, 19,   Spread:, 26, Win Score:, 1
Run#:, 293, Scores:,    black:, 44, white:, 19,   Spread:, 25, Win Score:, 1
Run#:, 294, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 295, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 296, Scores:,    black:, 15, white:, 48,   Spread:, -33, Win Score:, -1
Run#:, 297, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 298, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 299, Scores:,    black:, 14, white:, 50,   Spread:, -36, Win Score:, -1
Run#:, 300, Scores:,    black:, 38, white:, 26,   Spread:, 12, Win Score:, 1
Run#:, 301, Scores:,    black:, 33, white:, 30,   Spread:, 3, Win Score:, 1
Run#:, 302, Scores:,    black:, 16, white:, 48,   Spread:, -32, Win Score:, -1
Run#:, 303, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 304, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 305, Scores:,    black:, 34, white:, 30,   Spread:, 4, Win Score:, 1
Run#:, 306, Scores:,    black:, 32, white:, 31,   Spread:, 1, Win Score:, 1
Run#:, 307, Scores:,    black:, 44, white:, 20,   Spread:, 24, Win Score:, 1
Run#:, 308, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 309, Scores:,    black:, 23, white:, 40,   Spread:, -17, Win Score:, -1
Run#:, 310, Scores:,    black:, 31, white:, 32,   Spread:, -1, Win Score:, -1
Run#:, 311, Scores:,    black:, 39, white:, 24,   Spread:, 15, Win Score:, 1
Run#:, 312, Scores:,    black:, 30, white:, 31,   Spread:, -1, Win Score:, -1
Run#:, 313, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 314, Scores:,    black:, 35, white:, 29,   Spread:, 6, Win Score:, 1
Run#:, 315, Scores:,    black:, 35, white:, 29,   Spread:, 6, Win Score:, 1
Run#:, 316, Scores:,    black:, 37, white:, 26,   Spread:, 11, Win Score:, 1
Run#:, 317, Scores:,    black:, 35, white:, 28,   Spread:, 7, Win Score:, 1
Run#:, 318, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
